"","class","x","y","z"
"473","DistinctClusters",46.26,30.2,"2"
"474","DistinctClusters",47.36,14.13,"2"
"475","DistinctClusters",46.97,32.29,"2"
"476","DistinctClusters",51.12,27.36,"2"
"477","DistinctClusters",51.06,21.84,"2"
"478","DistinctClusters",55.5,23.75,"2"
"479","DistinctClusters",51.92,20.37,"2"
"480","DistinctClusters",47.8,19.34,"2"
"481","DistinctClusters",44.36,10.54,"2"
"482","DistinctClusters",53.81,24.46,"2"
"483","DistinctClusters",49.63,32.85,"2"
"484","DistinctClusters",51.1,32.54,"2"
"485","DistinctClusters",56.62,21.02,"2"
"486","DistinctClusters",60.51,19.35,"2"
"487","DistinctClusters",44.28,21.09,"2"
"488","DistinctClusters",59.86,26.88,"2"
"489","DistinctClusters",44.8,28.86,"2"
"490","DistinctClusters",51.6,22.45,"2"
"491","DistinctClusters",51.33,26.69,"2"
"492","DistinctClusters",48.34,19.84,"2"
"493","DistinctClusters",58.37,22.99,"2"
"494","DistinctClusters",46.05,27.11,"2"
"495","DistinctClusters",53.96,41.84,"2"
"496","DistinctClusters",49.92,19.68,"2"
"497","DistinctClusters",44.41,15.99,"2"
"498","DistinctClusters",57.29,22.67,"2"
"499","DistinctClusters",37.47,17.57,"2"
"500","DistinctClusters",46.84,23.81,"2"
"501","DistinctClusters",40.75,22.05,"2"
"502","DistinctClusters",51.17,27.9,"2"
"503","DistinctClusters",51.59,14.24,"2"
"504","DistinctClusters",43.29,12.77,"2"
"505","DistinctClusters",53.91,29.41,"2"
"506","DistinctClusters",43.8,21.35,"2"
"507","DistinctClusters",53.96,14.47,"2"
"508","DistinctClusters",51.43,13.56,"2"
"509","DistinctClusters",54.29,16.69,"2"
"510","DistinctClusters",44.37,23.54,"2"
"511","DistinctClusters",50.57,16.84,"2"
"512","DistinctClusters",47.22,28.05,"2"
"513","DistinctClusters",41.19,21.46,"2"
"514","DistinctClusters",50.92,21.18,"2"
"515","DistinctClusters",60.64,19.91,"2"
"516","DistinctClusters",46.11,18.21,"2"
"517","DistinctClusters",48.8,18.99,"2"
"518","DistinctClusters",54.14,26.94,"2"
"519","DistinctClusters",50.22,11.97,"2"
"520","DistinctClusters",61.66,26.52,"2"
"521","DistinctClusters",54.42,17.9,"2"
"522","DistinctClusters",63.93,24.41,"2"
"523","DistinctClusters",52.09,19.65,"2"
"524","DistinctClusters",43.2,11.93,"2"
"525","DistinctClusters",52.53,22.08,"2"
"526","DistinctClusters",44.45,16.17,"2"
"527","DistinctClusters",43.96,26.75,"2"
"528","DistinctClusters",48.86,15.03,"2"
"529","DistinctClusters",55.6,9.27,"2"
"530","DistinctClusters",52.06,14.88,"2"
"531","DistinctClusters",54.88,16.57,"2"
"532","DistinctClusters",55.49,15.04,"2"
"533","DistinctClusters",48.97,18.57,"2"
"534","DistinctClusters",35.59,16.43,"2"
"535","DistinctClusters",54.78,17.54,"2"
"536","DistinctClusters",63.01,21.97,"2"
"537","DistinctClusters",50.35,13.02,"2"
"538","DistinctClusters",41.87,24.56,"2"
"539","DistinctClusters",47.79,19.98,"2"
"540","DistinctClusters",44.39,19.77,"2"
"541","DistinctClusters",49.75,7.78,"2"
"542","DistinctClusters",54.06,18.19,"2"
"543","DistinctClusters",55.2,16.67,"2"
"544","DistinctClusters",51.41,25.08,"2"
"545","DistinctClusters",44.4,28.34,"2"
"546","DistinctClusters",54.88,27.39,"2"
"547","DistinctClusters",58.09,13.32,"2"
"548","DistinctClusters",63.51,15.22,"2"
"549","DistinctClusters",47.04,19.46,"2"
"550","DistinctClusters",52.84,13.64,"2"
"551","DistinctClusters",57.16,10.37,"2"
"552","DistinctClusters",49.3,24.75,"2"
"553","DistinctClusters",53.15,20.41,"2"
"554","DistinctClusters",51.29,23.69,"2"
"555","DistinctClusters",49.19,12.78,"2"
"556","DistinctClusters",51.01,17.96,"2"
"557","DistinctClusters",55.79,12.97,"2"
"558","DistinctClusters",52.45,15.02,"2"
"559","DistinctClusters",47.2,21.38,"2"
"560","DistinctClusters",36.56,15.11,"2"
"561","DistinctClusters",45.23,14.04,"2"
"562","DistinctClusters",49.88,12.16,"2"
"563","DistinctClusters",34.91,11.39,"2"
"564","DistinctClusters",63.27,14.82,"2"
"565","DistinctClusters",41.07,30.22,"2"
"566","DistinctClusters",43.04,16.07,"2"
"567","DistinctClusters",58.75,13.32,"2"
"568","DistinctClusters",36.86,11.57,"2"
"569","DistinctClusters",54.43,19.1,"2"
"570","DistinctClusters",47.94,17.64,"2"
"571","DistinctClusters",52.74,21.51,"2"
"572","DistinctClusters",55.27,18.3,"2"
"573","DistinctClusters",44.25,25.21,"2"
"574","DistinctClusters",45.76,24.32,"2"
"575","DistinctClusters",32.02,26.34,"2"
"576","DistinctClusters",44.23,21.46,"2"
"577","DistinctClusters",52.28,26.69,"2"
"578","DistinctClusters",53.03,19.54,"2"
"579","DistinctClusters",62.16,25.6,"2"
"580","DistinctClusters",50.39,19.05,"2"
"581","DistinctClusters",52.78,15.91,"2"
"582","DistinctClusters",50.45,12.68,"2"
"583","DistinctClusters",47.08,15.75,"2"
"584","DistinctClusters",54.49,15.51,"2"
"585","DistinctClusters",52.79,23.46,"2"
"586","DistinctClusters",50.78,19.69,"2"
"587","DistinctClusters",45.11,16.22,"2"
"588","DistinctClusters",49.76,14.61,"2"
"589","DistinctClusters",54.69,29.08,"2"
"590","DistinctClusters",54.06,18.58,"2"
"591","DistinctClusters",47.1,12.51,"2"
"592","DistinctClusters",45.99,17.42,"2"
"593","DistinctClusters",53.08,20.56,"2"
"594","DistinctClusters",56.29,25,"2"
"595","DistinctClusters",50.73,19.49,"2"
"596","DistinctClusters",48.12,20.67,"2"
"597","DistinctClusters",44.72,13.76,"2"
"598","DistinctClusters",47.48,24.78,"2"
"599","DistinctClusters",41.1,20.6,"2"
"600","DistinctClusters",45.82,24.42,"2"
"601","DistinctClusters",56.81,29.28,"2"
"602","DistinctClusters",56.67,21.07,"2"
"603","DistinctClusters",44.78,18.3,"2"
"604","DistinctClusters",51.26,15.4,"2"
"605","DistinctClusters",50.42,16.54,"2"
"606","DistinctClusters",40.02,14.51,"2"
"607","DistinctClusters",54.87,22.22,"2"
"608","DistinctClusters",38.53,11.19,"2"
